학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
옥산초등학교,1,3,0,2,2,0,0,0,0,0,1,0,4,5,51
안양호암초등학교,1,1,3,3,3,3,2,3,3,2,1,2,13,14,205
새금초등학교,2,7,4,5,4,3,6,0,2,5,3,2,21,22,473
도이초등학교,7,10,11,5,8,10,7,6,4,7,7,7,44,45,809
배곧누리초등학교,0,0,0,0,0,0,0,0,0,1,0,0,0,1,662
광주푸른초등학교,3,8,5,9,8,10,12,2,4,3,1,2,33,34,466
율곡초등학교,6,3,7,6,10,15,6,7,10,7,5,7,44,45,964
도학초등학교,1,0,0,1,0,0,2,1,1,1,0,2,4,5,42
동광초등학교,0,1,1,0,0,2,1,0,0,0,0,0,2,3,38
삼척중앙초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18
흥전초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30
녹전초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24
마차초등학교,0,0,0,0,1,1,0,1,1,0,0,1,2,3,23
무릉초등학교,0,1,0,0,2,1,0,1,1,1,0,0,3,4,37
명륜초등학교,6,5,6,6,7,5,8,14,5,3,1,1,33,34,450
비두초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29
원주초등학교,3,1,2,1,3,2,1,3,2,4,2,3,13,14,231
귀둔초등학교,0,0,0,0,0,1,0,0,0,1,1,0,1,2,24
서화초등학교서성분교장,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6
화동초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31
동부초등학교,2,5,3,3,6,3,7,5,0,2,3,4,21,22,405
서상초등학교,1,2,0,0,0,0,0,0,0,0,0,0,1,2,63
삼성초등학교,1,1,1,1,1,1,2,3,0,0,0,0,5,6,47
면온초등학교,0,0,0,1,1,0,0,1,1,1,0,0,2,3,44
신리초등학교,0,0,1,1,1,1,0,0,0,1,0,0,2,3,33
안미초등학교,1,0,0,0,0,1,0,1,0,0,0,0,1,2,29
구송초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23
모곡초등학교,0,0,0,1,0,0,0,0,1,1,0,0,1,2,9
반곡초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,23
삼생초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25
다목초등학교,1,2,1,0,0,2,1,1,0,0,1,0,4,5,19
원천초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,34
수백초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65
주문진초등학교삼덕분교장,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12
목도초등학교,1,2,2,1,1,1,0,0,0,1,0,0,4,5,52
연풍초등학교,0,1,0,1,1,0,0,0,1,0,1,2,3,4,28
대가초등학교,0,1,0,2,1,0,0,0,1,0,0,0,2,3,23
상진초등학교,1,1,1,1,1,2,0,2,2,1,1,0,6,7,129
어상천초등학교,0,0,0,0,0,2,0,0,0,0,1,0,1,2,30
영춘초등학교,0,0,2,2,0,0,0,1,0,1,1,0,3,4,54
관기초등학교,0,0,0,0,0,0,0,0,0,1,1,1,1,2,33
증약초등학교,0,0,0,0,0,0,0,0,0,1,0,0,0,1,47
금성초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,33
의림초등학교,3,2,2,6,1,4,8,7,4,2,3,1,21,22,547
청풍초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24
이월초등학교,1,0,3,0,0,3,0,2,1,1,0,0,5,6,129
옥산초등학교,3,1,6,3,4,4,3,4,2,6,3,4,21,22,340
